,batch_index,item_material,flat_index,item_id,x,y,x_length,y_length
0,0,QKQ-0218S,0,5725,0.0,0.0,536.0,448.0
1,0,QKQ-0218S,0,3674,0.0,448.0,476.0,476.0
2,0,QKQ-0218S,0,4073,0.0,924.0,451.0,258.0
3,0,QKQ-0218S,0,7520,0.0,1182.0,348.0,38.0
4,0,QKQ-0218S,0,7266,536.0,0.0,490.0,391.0
5,0,QKQ-0218S,0,6778,536.0,391.0,445.0,397.0
6,0,QKQ-0218S,0,4003,536.0,788.0,490.0,392.0
7,0,QKQ-0218S,0,7438,1026.0,0.0,476.0,476.0
8,0,QKQ-0218S,0,5109,1026.0,476.0,445.0,397.0
9,0,QKQ-0218S,0,5206,1026.0,873.0,470.0,258.0
10,0,QKQ-0218S,0,4280,1026.0,1131.0,435.0,58.0
11,0,QKQ-0218S,1,6450,0.0,0.0,1998.0,558.0
12,0,QKQ-0218S,1,5425,0.0,558.0,1037.0,323.0
13,0,QKQ-0218S,1,3639,0.0,881.0,1037.0,323.0
14,0,QKQ-0218S,2,4368,0.0,0.0,1706.0,380.0
15,0,QKQ-0218S,2,5940,0.0,380.0,660.0,425.0
16,0,QKQ-0218S,2,6402,0.0,805.0,962.0,277.0
17,0,QKQ-0218S,2,7118,1706.0,0.0,575.0,435.0
18,0,QKQ-0218S,2,6598,1706.0,435.0,556.0,431.0
19,0,QKQ-0218S,2,7361,1706.0,866.0,507.5,304.0
20,0,QKQ-0218S,3,5916,0.0,0.0,2114.0,413.5
21,0,QKQ-0218S,3,4331,0.0,413.5,746.0,359.0
22,0,QKQ-0218S,3,4163,0.0,772.5,1807.0,390.0
23,0,QKQ-0218S,4,5258,0.0,0.0,2278.0,558.0
24,0,QKQ-0218S,4,7544,0.0,558.0,1054.0,440.0
25,0,QKQ-0218S,4,6176,0.0,998.0,779.0,169.0
26,0,QKQ-0218S,4,6445,0.0,1167.0,1659.0,38.0
27,0,QKQ-0218S,5,5884,0.0,0.0,2278.0,38.0
28,0,QKQ-0218S,5,3799,0.0,38.0,752.0,427.0
29,0,QKQ-0218S,5,6230,752.0,38.0,752.0,427.0
30,0,QKQ-0218S,5,4999,0.0,465.0,2214.0,463.0
31,0,QKQ-0218S,5,3718,0.0,928.0,611.0,288.0
32,0,QKQ-0218S,6,6532,0.0,0.0,2324.0,405.0
33,0,QKQ-0218S,6,4040,0.0,405.0,2114.0,413.5
34,0,QKQ-0218S,6,4189,0.0,818.5,509.0,392.0
35,0,QKQ-0218S,6,7043,509.0,818.5,509.0,392.0
36,0,QKQ-0218S,6,4903,1018.0,818.5,509.0,392.0
37,0,QKQ-0218S,7,6123,0.0,0.0,1054.0,459.0
38,0,QKQ-0218S,7,3607,0.0,459.0,556.0,434.0
39,0,QKQ-0218S,7,4205,0.0,893.0,871.0,323.5
40,0,QKQ-0218S,7,4539,1054.0,0.0,1037.0,323.0
41,0,QKQ-0218S,7,4445,1054.0,323.0,620.0,426.0
42,0,QKQ-0218S,7,7342,1054.0,749.0,983.5,465.0
43,0,QKQ-0218S,8,4148,0.0,0.0,1578.0,308.0
44,0,QKQ-0218S,8,4310,0.0,308.0,807.0,558.0
45,0,QKQ-0218S,8,4348,0.0,866.0,908.0,344.0
46,0,QKQ-0218S,8,5040,1578.0,0.0,807.0,558.0
47,0,QKQ-0218S,8,5483,1578.0,558.0,779.0,169.0
48,0,QKQ-0218S,8,3706,1578.0,727.0,536.0,385.0
49,0,QKQ-0218S,8,4074,1578.0,1112.0,477.0,58.0
50,0,QKQ-0218S,9,6936,0.0,0.0,2178.0,578.0
51,0,QKQ-0218S,9,6367,0.0,578.0,1833.5,408.0
52,0,QKQ-0218S,9,5076,0.0,986.0,460.0,198.0
53,0,QKQ-0218S,10,4002,0.0,0.0,2048.0,510.0
54,0,QKQ-0218S,10,7070,0.0,510.0,837.0,268.0
55,0,QKQ-0218S,10,5182,837.0,510.0,837.0,268.0
56,0,QKQ-0218S,10,4303,0.0,778.0,837.0,287.0
57,0,QKQ-0218S,10,5661,837.0,778.0,837.0,287.0
58,0,QKQ-0218S,10,6615,0.0,1065.0,980.0,147.5
59,0,QKQ-0218S,11,6534,0.0,0.0,872.0,343.0
60,0,QKQ-0218S,11,7591,0.0,343.0,510.0,458.0
61,0,QKQ-0218S,11,5619,0.0,801.0,659.0,406.0
62,0,QKQ-0218S,11,6990,872.0,0.0,872.0,490.0
63,0,QKQ-0218S,11,3938,872.0,490.0,556.0,430.0
64,0,QKQ-0218S,11,5505,1744.0,0.0,564.5,413.5
65,0,QKQ-0218S,11,5951,1744.0,413.5,558.0,478.0
66,0,QKQ-0218S,11,7007,1744.0,891.5,507.5,304.0
67,0,QKQ-0218S,12,5738,0.0,0.0,1514.0,320.0
68,0,QKQ-0218S,12,4106,0.0,320.0,872.0,509.0
69,0,QKQ-0218S,12,6110,0.0,829.0,613.0,380.0
70,0,QKQ-0218S,12,5950,1514.0,0.0,916.0,555.0
71,0,QKQ-0218S,12,4861,1514.0,555.0,905.0,554.0
