,batch_index,item_material,flat_index,item_id,x,y,x_length,y_length
0,0,XMJQ-0215S,0,22461,0.0,0.0,2046.0,873.5
1,0,XMJQ-0215S,0,21251,0.0,873.5,650.0,294.5
2,0,XMJQ-0215S,0,21706,650.0,873.5,650.0,294.5
3,0,XMJQ-0215S,1,20815,0.0,0.0,2046.0,879.5
4,0,XMJQ-0215S,1,18962,0.0,879.5,678.0,321.5
5,0,XMJQ-0215S,1,19810,678.0,879.5,678.0,321.5
6,0,XMJQ-0215S,2,20389,0.0,0.0,661.0,474.0
7,0,XMJQ-0215S,2,23244,0.0,474.0,661.0,474.0
8,0,XMJQ-0215S,2,18842,0.0,948.0,488.0,118.0
9,0,XMJQ-0215S,2,20591,0.0,1066.0,488.0,118.0
10,0,XMJQ-0215S,2,20406,661.0,0.0,632.0,439.0
11,0,XMJQ-0215S,2,20407,661.0,439.0,550.5,532.0
12,0,XMJQ-0215S,2,21235,661.0,971.0,338.0,238.0
13,0,XMJQ-0215S,2,20165,1293.0,0.0,593.0,212.5
14,0,XMJQ-0215S,2,21978,1293.0,212.5,550.5,522.0
15,0,XMJQ-0215S,2,22822,1293.0,734.5,559.0,448.0
16,0,XMJQ-0215S,3,22886,0.0,0.0,2315.5,772.0
17,0,XMJQ-0215S,3,20140,0.0,772.0,632.0,439.0
18,0,XMJQ-0215S,4,22797,0.0,0.0,2315.5,830.0
19,0,XMJQ-0215S,4,19664,0.0,830.0,442.0,377.0
20,0,XMJQ-0215S,4,23184,442.0,830.0,442.0,377.0
21,0,XMJQ-0215S,4,21658,884.0,830.0,442.0,377.0
22,0,XMJQ-0215S,4,20505,1326.0,830.0,442.0,377.0
23,0,XMJQ-0215S,5,20729,0.0,0.0,2046.0,422.0
24,0,XMJQ-0215S,5,22304,0.0,422.0,1594.0,608.0
25,0,XMJQ-0215S,5,22708,0.0,1030.0,1896.0,137.0
26,0,XMJQ-0215S,6,20465,0.0,0.0,2315.5,830.0
27,0,XMJQ-0215S,6,19814,0.0,830.0,710.0,351.5
28,0,XMJQ-0215S,6,21511,710.0,830.0,960.0,351.5
29,0,XMJQ-0215S,7,23993,0.0,0.0,2320.5,788.0
30,0,XMJQ-0215S,7,23518,0.0,788.0,835.0,429.5
31,0,XMJQ-0215S,7,22375,835.0,788.0,879.5,429.5
32,0,XMJQ-0215S,7,20987,1714.5,788.0,429.5,422.0
33,0,XMJQ-0215S,8,23576,0.0,0.0,2320.5,788.0
34,0,XMJQ-0215S,8,20279,0.0,788.0,873.5,429.5
35,0,XMJQ-0215S,9,23142,0.0,0.0,1863.0,846.0
36,0,XMJQ-0215S,9,19265,0.0,846.0,594.0,339.0
37,0,XMJQ-0215S,9,21120,594.0,846.0,594.0,339.0
38,0,XMJQ-0215S,9,22670,1863.0,0.0,537.0,92.5
39,0,XMJQ-0215S,9,19155,1863.0,92.5,395.0,92.5
40,0,XMJQ-0215S,9,20748,1863.0,185.0,439.0,265.0
41,0,XMJQ-0215S,9,18742,1863.0,450.0,368.0,206.0
42,0,XMJQ-0215S,9,20180,1863.0,656.0,368.0,206.0
43,0,XMJQ-0215S,9,20454,1863.0,862.0,368.0,206.0
44,0,XMJQ-0215S,9,23028,1863.0,1068.0,488.0,118.0
45,0,XMJQ-0215S,10,20701,0.0,0.0,1158.0,501.0
46,0,XMJQ-0215S,10,22297,0.0,501.0,661.0,483.0
47,0,XMJQ-0215S,10,21866,0.0,984.0,593.0,212.5
48,0,XMJQ-0215S,10,21147,1158.0,0.0,1158.0,501.0
49,0,XMJQ-0215S,10,18866,1158.0,501.0,643.0,562.0
50,0,XMJQ-0215S,10,21451,1801.0,501.0,562.0,458.0
51,0,XMJQ-0215S,10,20886,1158.0,1063.0,388.0,118.0
52,0,XMJQ-0215S,10,23942,1546.0,1063.0,488.0,118.0
53,0,XMJQ-0215S,11,21544,0.0,0.0,1940.5,957.0
54,0,XMJQ-0215S,11,21575,0.0,957.0,338.0,238.0
55,0,XMJQ-0215S,11,23306,338.0,957.0,338.0,238.0
56,0,XMJQ-0215S,11,23269,676.0,957.0,338.0,238.0
57,0,XMJQ-0215S,11,22030,1940.5,0.0,498.0,78.0
58,0,XMJQ-0215S,11,21167,1940.5,78.0,489.0,396.0
59,0,XMJQ-0215S,11,23959,1940.5,474.0,405.0,389.0
60,0,XMJQ-0215S,11,22002,1940.5,863.0,298.0,288.0
61,0,XMJQ-0215S,11,23901,1940.5,1151.0,417.5,52.5
62,0,XMJQ-0215S,12,23209,0.0,0.0,1940.5,464.0
63,0,XMJQ-0215S,12,20647,0.0,464.0,604.0,442.0
64,0,XMJQ-0215S,12,21999,604.0,464.0,604.0,442.0
65,0,XMJQ-0215S,12,21748,1208.0,464.0,604.0,442.0
66,0,XMJQ-0215S,12,18885,0.0,906.0,650.0,294.5
67,0,XMJQ-0215S,12,23738,650.0,906.0,650.0,294.5
68,0,XMJQ-0215S,12,19793,1940.5,0.0,499.0,427.5
69,0,XMJQ-0215S,12,23608,1940.5,427.5,439.0,265.0
70,0,XMJQ-0215S,12,22657,1940.5,692.5,499.0,418.5
71,0,XMJQ-0215S,12,19600,1940.5,1111.0,264.0,92.5
72,0,XMJQ-0215S,13,20665,0.0,0.0,2317.5,862.0
73,0,XMJQ-0215S,13,19511,0.0,862.0,725.0,301.5
74,0,XMJQ-0215S,13,19018,725.0,862.0,725.0,301.5
75,0,XMJQ-0215S,13,19590,0.0,1163.5,426.5,52.5
76,0,XMJQ-0215S,13,21773,426.5,1163.5,557.0,52.5
77,0,XMJQ-0215S,14,21712,0.0,0.0,2001.0,835.0
