,item_material,flat_index,item_id,x,y,x_length,y_length
0,FMB-0215S,0,5095,0.0,0.0,2433.0,58.0
1,FMB-0215S,0,4758,0.0,58.0,980.0,291.0
2,FMB-0215S,0,4515,0.0,349.0,858.0,58.0
3,FMB-0215S,0,4471,858.0,349.0,1568.0,58.0
4,FMB-0215S,0,4968,0.0,407.0,2388.0,38.0
5,FMB-0215S,0,4494,0.0,445.0,2432.0,485.0
6,FMB-0215S,0,5039,0.0,930.0,522.0,288.0
7,FMB-0215S,1,4681,0.0,0.0,2432.0,485.0
8,FMB-0215S,1,5088,0.0,485.0,1933.0,38.0
9,FMB-0215S,1,4572,0.0,523.0,2360.0,58.0
10,FMB-0215S,1,4903,0.0,581.0,2051.0,422.0
11,FMB-0215S,1,4818,0.0,1003.0,2398.0,38.0
12,FMB-0215S,1,4387,0.0,1041.0,1598.0,58.0
13,FMB-0215S,1,5017,1598.0,1041.0,821.0,58.0
14,FMB-0215S,1,4630,0.0,1099.0,2415.0,80.0
15,FMB-0215S,1,4835,0.0,1179.0,2398.0,38.0
16,FMB-0215S,2,4943,0.0,0.0,2418.0,58.0
17,FMB-0215S,2,4568,0.0,58.0,2301.0,967.0
18,FMB-0215S,2,4888,2301.0,58.0,58.0,967.0
19,FMB-0215S,2,4990,0.0,1025.0,595.0,194.0
20,FMB-0215S,3,4960,0.0,0.0,2410.0,370.0
21,FMB-0215S,3,4780,0.0,370.0,1247.0,579.0
22,FMB-0215S,3,4911,0.0,949.0,362.0,271.0
23,FMB-0215S,4,5092,0.0,0.0,2403.0,580.0
24,FMB-0215S,4,5051,0.0,580.0,791.0,538.0
25,FMB-0215S,4,4972,0.0,1118.0,901.0,98.0
26,FMB-0215S,5,4816,0.0,0.0,2403.0,58.0
27,FMB-0215S,5,5135,0.0,58.0,572.0,510.0
28,FMB-0215S,5,5102,572.0,58.0,1194.0,510.0
29,FMB-0215S,5,4725,1766.0,58.0,289.0,510.0
30,FMB-0215S,5,4542,0.0,568.0,670.0,175.5
31,FMB-0215S,5,4740,0.0,743.5,1649.0,420.0
32,FMB-0215S,5,4983,1649.0,743.5,308.0,420.0
33,FMB-0215S,5,4865,1957.0,743.5,308.0,420.0
34,FMB-0215S,5,4689,0.0,1163.5,573.0,53.0
35,FMB-0215S,5,4535,573.0,1163.5,1198.0,53.0
36,FMB-0215S,6,4691,0.0,0.0,2403.0,580.0
37,FMB-0215S,6,5056,0.0,580.0,782.0,630.0
38,FMB-0215S,6,5060,782.0,580.0,782.0,630.0
39,FMB-0215S,6,4441,1564.0,580.0,378.0,630.0
40,FMB-0215S,6,4939,1942.0,580.0,38.0,630.0
41,FMB-0215S,7,4884,0.0,0.0,2398.0,38.0
42,FMB-0215S,8,4526,0.0,0.0,2398.0,398.0
43,FMB-0215S,8,4772,0.0,398.0,2398.0,38.0
44,FMB-0215S,8,4808,0.0,436.0,2360.0,307.0
45,FMB-0215S,8,4532,0.0,743.0,2099.0,425.0
46,FMB-0215S,8,4493,0.0,1168.0,470.0,48.0
47,FMB-0215S,9,5085,0.0,0.0,2398.0,330.0
48,FMB-0215S,9,5125,0.0,330.0,700.0,415.0
49,FMB-0215S,9,4993,0.0,745.0,362.0,328.0
50,FMB-0215S,9,4803,362.0,745.0,422.0,328.0
51,FMB-0215S,9,4477,784.0,745.0,362.0,328.0
52,FMB-0215S,9,4529,1146.0,745.0,308.0,328.0
53,FMB-0215S,9,4752,0.0,1073.0,588.5,124.5
54,FMB-0215S,9,4747,588.5,1073.0,661.0,124.5
55,FMB-0215S,9,4896,1249.5,1073.0,603.0,124.5
56,FMB-0215S,10,4792,0.0,0.0,2398.0,38.0
57,FMB-0215S,10,4765,0.0,38.0,2148.0,530.0
58,FMB-0215S,10,4518,0.0,568.0,438.0,78.0
59,FMB-0215S,10,4512,438.0,568.0,488.0,78.0
60,FMB-0215S,10,4452,926.0,568.0,488.0,78.0
61,FMB-0215S,10,4422,1414.0,568.0,488.0,78.0
62,FMB-0215S,10,4692,1902.0,568.0,438.0,78.0
63,FMB-0215S,10,5031,0.0,646.0,721.0,277.5
64,FMB-0215S,10,4531,0.0,923.5,2308.0,58.0
65,FMB-0215S,10,4793,0.0,981.5,1778.5,220.0
66,FMB-0215S,11,5022,0.0,0.0,2398.0,458.0
67,FMB-0215S,11,5052,0.0,458.0,2313.0,434.5
68,FMB-0215S,11,4407,0.0,892.5,802.0,327.0
69,FMB-0215S,11,4756,802.0,892.5,859.0,327.0
70,FMB-0215S,12,4902,0.0,0.0,2398.0,480.0
71,FMB-0215S,12,4426,0.0,480.0,791.0,498.0
72,FMB-0215S,12,5059,791.0,480.0,38.0,498.0
73,FMB-0215S,12,4786,0.0,978.0,891.0,240.0
74,FMB-0215S,13,4857,0.0,0.0,2394.5,440.0
75,FMB-0215S,13,5103,0.0,440.0,2058.0,58.0
76,FMB-0215S,13,4864,2058.0,440.0,332.0,58.0
77,FMB-0215S,13,4742,0.0,498.0,2168.0,58.0
78,FMB-0215S,13,4466,0.0,556.0,2388.0,596.0
79,FMB-0215S,13,4499,0.0,1152.0,270.0,58.0
80,FMB-0215S,13,5072,270.0,1152.0,2078.0,58.0
81,FMB-0215S,14,4998,0.0,0.0,2393.0,310.0
82,FMB-0215S,14,5096,0.0,310.0,1163.0,327.0
83,FMB-0215S,14,4680,1163.0,310.0,1021.5,327.0
84,FMB-0215S,14,4615,2184.5,310.0,162.0,327.0
85,FMB-0215S,14,5048,0.0,637.0,931.0,537.0
86,FMB-0215S,14,4401,0.0,1174.0,369.0,38.0
87,FMB-0215S,14,4536,369.0,1174.0,1938.0,38.0
88,FMB-0215S,15,4984,0.0,0.0,2388.0,58.0
89,FMB-0215S,15,4811,0.0,58.0,781.0,413.0
90,FMB-0215S,15,4558,0.0,471.0,1784.0,88.0
91,FMB-0215S,15,4595,0.0,559.0,2094.0,530.0
92,FMB-0215S,15,4492,0.0,1089.0,288.0,118.0
93,FMB-0215S,15,4743,288.0,1089.0,488.0,118.0
94,FMB-0215S,15,4644,776.0,1089.0,488.0,118.0
95,FMB-0215S,15,4476,1264.0,1089.0,488.0,118.0
96,FMB-0215S,15,4928,1752.0,1089.0,288.0,118.0
97,FMB-0215S,15,4881,2040.0,1089.0,288.0,118.0
98,FMB-0215S,16,4784,0.0,0.0,2363.0,328.0
99,FMB-0215S,16,4764,0.0,328.0,1898.0,58.0
100,FMB-0215S,16,4408,0.0,386.0,2318.0,58.0
101,FMB-0215S,16,4552,0.0,444.0,2243.0,58.0
102,FMB-0215S,16,4713,0.0,502.0,1718.0,58.0
103,FMB-0215S,16,4727,0.0,560.0,1712.0,58.0
104,FMB-0215S,16,5081,0.0,618.0,1668.0,58.0
105,FMB-0215S,16,4655,0.0,676.0,1247.0,58.0
106,FMB-0215S,16,4959,0.0,734.0,2188.0,58.0
107,FMB-0215S,16,4699,0.0,792.0,1562.0,58.0
108,FMB-0215S,17,5024,0.0,0.0,2356.0,862.0
109,FMB-0215S,17,4804,0.0,862.0,412.5,358.0
110,FMB-0215S,17,4601,412.5,862.0,772.0,358.0
111,FMB-0215S,17,4905,1184.5,862.0,557.0,358.0
112,FMB-0215S,17,4840,1741.5,862.0,556.0,358.0
113,FMB-0215S,18,5131,0.0,0.0,2338.0,398.0
114,FMB-0215S,18,4809,0.0,398.0,1198.0,380.0
115,FMB-0215S,18,4449,1198.0,398.0,978.0,380.0
116,FMB-0215S,18,4996,2176.0,398.0,38.0,380.0
117,FMB-0215S,18,5100,0.0,778.0,528.0,441.0
118,FMB-0215S,19,4856,0.0,0.0,2328.0,578.0
119,FMB-0215S,19,4521,0.0,578.0,621.5,267.5
120,FMB-0215S,19,4611,0.0,845.5,545.0,371.5
121,FMB-0215S,20,4417,0.0,0.0,2322.0,1050.0
122,FMB-0215S,20,4936,0.0,1050.0,487.5,168.5
123,FMB-0215S,20,5066,487.5,1050.0,594.5,168.5
124,FMB-0215S,20,4726,1082.0,1050.0,575.5,168.5
125,FMB-0215S,20,4461,1657.5,1050.0,488.0,168.5
126,FMB-0215S,21,4632,0.0,0.0,2306.0,770.0
127,FMB-0215S,21,4648,0.0,770.0,1598.0,448.0
128,FMB-0215S,22,4610,0.0,0.0,2306.0,770.0
129,FMB-0215S,22,4397,0.0,770.0,878.0,448.5
130,FMB-0215S,23,5132,0.0,0.0,2306.0,770.0
131,FMB-0215S,23,4769,0.0,770.0,897.0,449.5
132,FMB-0215S,23,4892,897.0,770.0,897.0,449.5
133,FMB-0215S,23,5033,1794.0,770.0,58.0,449.5
134,FMB-0215S,24,4982,0.0,0.0,2301.0,507.0
135,FMB-0215S,24,4999,0.0,507.0,2221.0,494.5
136,FMB-0215S,24,4411,0.0,1001.5,281.0,214.0
137,FMB-0215S,24,4431,281.0,1001.5,744.0,214.0
138,FMB-0215S,25,4883,0.0,0.0,2298.0,445.0
139,FMB-0215S,25,4597,0.0,445.0,2291.0,58.0
140,FMB-0215S,25,5015,0.0,503.0,2034.0,472.5
141,FMB-0215S,25,4766,0.0,975.5,820.0,202.0
142,FMB-0215S,25,4863,0.0,1177.5,509.0,38.0
143,FMB-0215S,25,4781,509.0,1177.5,1638.0,38.0
144,FMB-0215S,26,4897,0.0,0.0,2298.0,445.0
145,FMB-0215S,26,5055,0.0,445.0,2291.0,771.0
146,FMB-0215S,27,4659,0.0,0.0,2298.0,445.0
147,FMB-0215S,27,5053,0.0,445.0,438.0,198.0
148,FMB-0215S,27,4709,438.0,445.0,438.0,198.0
149,FMB-0215S,27,4676,0.0,643.0,930.0,558.0
150,FMB-0215S,27,4484,930.0,643.0,791.0,558.0
151,FMB-0215S,27,4977,1721.0,643.0,370.0,558.0
152,FMB-0215S,27,4480,2091.0,643.0,201.0,558.0
153,FMB-0215S,28,4567,0.0,0.0,2296.0,852.0
154,FMB-0215S,28,4415,0.0,852.0,1040.0,368.0
155,FMB-0215S,29,4506,0.0,0.0,2286.0,277.0
156,FMB-0215S,29,4826,0.0,277.0,1712.0,377.0
157,FMB-0215S,29,5058,0.0,654.0,2157.0,57.0
158,FMB-0215S,29,4923,0.0,711.0,2248.0,293.0
159,FMB-0215S,29,4546,0.0,1004.0,1861.0,58.0
160,FMB-0215S,29,4670,0.0,1062.0,2078.0,58.0
161,FMB-0215S,29,4661,0.0,1120.0,1218.0,58.0
162,FMB-0215S,30,4443,0.0,0.0,2286.0,422.0
163,FMB-0215S,30,4557,0.0,422.0,1049.5,785.0
164,FMB-0215S,30,4843,1049.5,422.0,1049.5,785.0
165,FMB-0215S,31,4697,0.0,0.0,2285.0,568.0
166,FMB-0215S,31,4590,0.0,568.0,510.0,472.0
167,FMB-0215S,31,4829,510.0,568.0,499.5,472.0
168,FMB-0215S,31,4444,1009.5,568.0,394.0,472.0
169,FMB-0215S,31,4580,1403.5,568.0,83.0,472.0
170,FMB-0215S,31,4472,1486.5,568.0,83.0,472.0
171,FMB-0215S,31,4614,0.0,1040.0,328.0,180.0
172,FMB-0215S,31,4839,328.0,1040.0,328.0,180.0
173,FMB-0215S,32,5112,0.0,0.0,2265.0,871.0
174,FMB-0215S,32,4850,0.0,871.0,503.0,348.0
175,FMB-0215S,32,4519,503.0,871.0,1698.0,348.0
176,FMB-0215S,33,4763,0.0,0.0,2264.0,455.0
177,FMB-0215S,33,4731,0.0,455.0,998.0,448.0
178,FMB-0215S,33,4951,998.0,455.0,866.0,448.0
179,FMB-0215S,33,4581,0.0,903.0,923.0,317.0
180,FMB-0215S,33,5000,923.0,903.0,923.0,317.0
181,FMB-0215S,33,4900,1846.0,903.0,38.0,317.0
182,FMB-0215S,34,4706,0.0,0.0,2258.0,580.0
183,FMB-0215S,34,4761,0.0,580.0,864.0,449.0
184,FMB-0215S,34,4399,0.0,1029.0,299.0,178.0
185,FMB-0215S,34,5018,299.0,1029.0,811.0,178.0
186,FMB-0215S,34,4820,1110.0,1029.0,811.0,178.0
187,FMB-0215S,34,4832,1921.0,1029.0,320.0,178.0
188,FMB-0215S,35,4623,0.0,0.0,2238.0,38.0
189,FMB-0215S,35,4782,0.0,38.0,823.0,318.0
190,FMB-0215S,35,4490,823.0,38.0,798.0,318.0
191,FMB-0215S,35,4585,0.0,356.0,2001.0,425.0
192,FMB-0215S,35,4631,0.0,781.0,442.0,439.0
193,FMB-0215S,35,4607,442.0,781.0,710.0,439.0
194,FMB-0215S,36,4861,0.0,0.0,2234.0,482.5
195,FMB-0215S,36,4674,0.0,482.5,950.0,546.0
196,FMB-0215S,36,5041,0.0,1028.5,456.5,178.0
197,FMB-0215S,37,5061,0.0,0.0,2234.0,482.5
198,FMB-0215S,37,4703,0.0,482.5,2123.0,682.0
199,FMB-0215S,37,4724,0.0,1164.5,509.0,52.5
200,FMB-0215S,37,4859,509.0,1164.5,580.0,52.5
201,FMB-0215S,38,4486,0.0,0.0,2220.0,298.0
202,FMB-0215S,38,5133,0.0,298.0,692.0,290.0
203,FMB-0215S,38,4929,0.0,588.0,970.0,510.0
204,FMB-0215S,38,4563,970.0,588.0,1194.0,510.0
205,FMB-0215S,38,4566,0.0,1098.0,288.0,118.0
206,FMB-0215S,38,4710,288.0,1098.0,288.0,118.0
207,FMB-0215S,38,4606,576.0,1098.0,288.0,118.0
208,FMB-0215S,39,5106,0.0,0.0,2201.0,946.0
209,FMB-0215S,39,4970,0.0,946.0,348.0,273.0
210,FMB-0215S,39,4957,348.0,946.0,616.0,273.0
211,FMB-0215S,39,4541,964.0,946.0,616.0,273.0
212,FMB-0215S,39,4522,1580.0,946.0,616.0,273.0
213,FMB-0215S,40,4736,0.0,0.0,2194.0,419.0
214,FMB-0215S,40,4891,0.0,419.0,1878.0,547.5
215,FMB-0215S,40,4833,0.0,966.5,844.0,253.0
216,FMB-0215S,41,5093,0.0,0.0,2194.0,419.0
217,FMB-0215S,41,4660,0.0,419.0,1375.0,599.5
218,FMB-0215S,41,4925,0.0,1018.5,308.0,201.0
219,FMB-0215S,41,4986,308.0,1018.5,48.0,201.0
220,FMB-0215S,41,4785,356.0,1018.5,48.0,201.0
221,FMB-0215S,41,4667,404.0,1018.5,48.0,201.0
222,FMB-0215S,42,4457,0.0,0.0,2194.0,394.0
223,FMB-0215S,42,4666,0.0,394.0,2066.0,822.0
224,FMB-0215S,43,5029,0.0,0.0,2188.0,565.0
225,FMB-0215S,43,4958,0.0,565.0,1847.0,550.0
226,FMB-0215S,43,4978,0.0,1115.0,998.0,93.0
227,FMB-0215S,44,5005,0.0,0.0,2188.0,970.0
228,FMB-0215S,44,5089,0.0,970.0,834.0,249.0
229,FMB-0215S,45,4437,0.0,0.0,2163.0,330.0
230,FMB-0215S,45,5002,0.0,330.0,1186.0,871.0
231,FMB-0215S,45,5074,1186.0,330.0,548.0,871.0
232,FMB-0215S,45,5035,1734.0,330.0,58.0,871.0
233,FMB-0215S,45,4447,1792.0,330.0,58.0,871.0
234,FMB-0215S,46,4901,0.0,0.0,2161.0,821.0
235,FMB-0215S,46,4570,0.0,821.0,880.0,378.0
236,FMB-0215S,46,4841,880.0,821.0,920.0,378.0
237,FMB-0215S,47,4789,0.0,0.0,2152.0,580.0
238,FMB-0215S,47,4813,0.0,580.0,946.0,575.0
239,FMB-0215S,47,4569,946.0,580.0,946.0,575.0
240,FMB-0215S,47,4954,0.0,1155.0,1258.0,63.0
241,FMB-0215S,48,5070,0.0,0.0,2148.0,330.0
242,FMB-0215S,48,4739,0.0,330.0,1598.0,429.0
243,FMB-0215S,48,4513,0.0,759.0,523.0,408.0
244,FMB-0215S,48,5124,523.0,759.0,523.0,408.0
245,FMB-0215S,48,4577,1046.0,759.0,360.0,408.0
246,FMB-0215S,48,5127,0.0,1167.0,362.0,52.5
247,FMB-0215S,48,4930,362.0,1167.0,688.0,52.5
248,FMB-0215S,48,4485,1050.0,1167.0,625.0,52.5
249,FMB-0215S,48,4451,1675.0,1167.0,426.5,52.5
250,FMB-0215S,49,5075,0.0,0.0,2098.0,560.0
251,FMB-0215S,49,4641,0.0,560.0,1071.0,615.0
252,FMB-0215S,49,4672,0.0,1175.0,197.0,38.0
253,FMB-0215S,49,4912,197.0,1175.0,1823.0,38.0
254,FMB-0215S,50,5105,0.0,0.0,2098.0,530.0
255,FMB-0215S,50,5047,0.0,530.0,662.0,540.0
256,FMB-0215S,50,4730,0.0,1070.0,397.0,145.0
257,FMB-0215S,51,4678,0.0,0.0,2088.0,511.5
258,FMB-0215S,51,4528,0.0,511.5,951.0,565.0
259,FMB-0215S,51,4974,0.0,1076.5,869.0,128.0
260,FMB-0215S,52,4737,0.0,0.0,2055.0,1004.0
261,FMB-0215S,52,4434,0.0,1004.0,695.0,204.0
262,FMB-0215S,53,4790,0.0,0.0,2055.0,1139.0
263,FMB-0215S,53,4878,0.0,1139.0,288.0,78.0
264,FMB-0215S,53,5016,288.0,1139.0,488.0,78.0
265,FMB-0215S,53,4650,776.0,1139.0,488.0,78.0
266,FMB-0215S,53,4598,1264.0,1139.0,488.0,78.0
267,FMB-0215S,53,5076,1752.0,1139.0,288.0,78.0
268,FMB-0215S,54,4980,0.0,0.0,2051.0,371.0
269,FMB-0215S,54,4400,0.0,371.0,1553.0,580.0
270,FMB-0215S,54,4798,1553.0,371.0,458.5,580.0
271,FMB-0215S,54,4734,0.0,951.0,1333.0,263.0
272,FMB-0215S,55,4933,0.0,0.0,2051.0,472.0
273,FMB-0215S,55,4701,0.0,472.0,1172.0,722.0
274,FMB-0215S,55,4812,1172.0,472.0,598.0,722.0
275,FMB-0215S,56,4992,0.0,0.0,2051.0,659.0
276,FMB-0215S,56,4413,0.0,659.0,608.0,560.0
277,FMB-0215S,56,4459,608.0,659.0,1003.0,560.0
278,FMB-0215S,56,4860,1611.0,659.0,399.3,560.0
279,FMB-0215S,57,4393,0.0,0.0,2051.0,297.0
280,FMB-0215S,57,4917,0.0,297.0,1987.0,307.0
281,FMB-0215S,57,4969,0.0,604.0,2039.0,482.0
282,FMB-0215S,57,4976,0.0,1086.0,701.5,134.0
283,FMB-0215S,58,5009,0.0,0.0,2047.0,345.0
284,FMB-0215S,58,4673,0.0,345.0,694.5,278.0
285,FMB-0215S,58,5054,0.0,623.0,746.0,284.5
286,FMB-0215S,58,4562,0.0,907.5,870.0,308.0
287,FMB-0215S,59,4468,0.0,0.0,2025.0,348.0
288,FMB-0215S,59,4837,0.0,348.0,1333.0,263.0
289,FMB-0215S,59,4677,0.0,611.0,1422.0,347.0
290,FMB-0215S,59,4899,0.0,958.0,1440.0,251.5
291,FMB-0215S,59,5129,2025.0,0.0,405.0,310.0
292,FMB-0215S,59,4819,2025.0,310.0,300.0,295.0
293,FMB-0215S,60,4684,0.0,0.0,2020.0,417.0
294,FMB-0215S,60,4429,0.0,417.0,965.5,433.0
295,FMB-0215S,60,4491,0.0,850.0,802.0,297.0
296,FMB-0215S,60,5077,802.0,850.0,1048.0,297.0
297,FMB-0215S,60,4931,0.0,1147.0,486.0,58.0
298,FMB-0215S,60,4617,486.0,1147.0,1517.0,58.0
299,FMB-0215S,61,4795,0.0,0.0,2001.0,399.3
300,FMB-0215S,61,4801,0.0,399.3,921.0,397.0
301,FMB-0215S,61,4882,0.0,796.3,942.0,395.0
302,FMB-0215S,61,5007,2001.0,0.0,438.0,238.0
303,FMB-0215S,61,4683,2001.0,238.0,431.0,405.0
304,FMB-0215S,61,4594,2001.0,643.0,421.0,378.0
305,FMB-0215S,61,4777,2001.0,1021.0,338.0,198.0
306,FMB-0215S,62,5136,0.0,0.0,2001.0,827.7
307,FMB-0215S,62,4440,0.0,827.7,397.0,388.0
308,FMB-0215S,62,5001,397.0,827.7,198.0,388.0
309,FMB-0215S,62,4637,595.0,827.7,198.0,388.0
310,FMB-0215S,62,4955,793.0,827.7,132.5,388.0
311,FMB-0215S,62,4654,925.5,827.7,118.0,388.0
312,FMB-0215S,62,4770,1043.5,827.7,78.0,388.0
313,FMB-0215S,62,4729,1121.5,827.7,78.0,388.0
314,FMB-0215S,62,4600,1199.5,827.7,78.0,388.0
315,FMB-0215S,62,4390,2001.0,0.0,422.0,359.0
316,FMB-0215S,62,4810,2001.0,359.0,395.0,377.0
317,FMB-0215S,62,4873,2001.0,736.0,325.0,324.5
318,FMB-0215S,62,4402,2001.0,1060.5,369.0,58.0
319,FMB-0215S,62,4705,2001.0,1118.5,390.0,58.0
320,FMB-0215S,63,4967,0.0,0.0,2001.0,579.0
321,FMB-0215S,63,4561,0.0,579.0,425.0,317.5
322,FMB-0215S,63,4406,425.0,579.0,425.0,317.5
323,FMB-0215S,63,4805,850.0,579.0,347.0,317.5
324,FMB-0215S,63,4551,1197.0,579.0,347.0,317.5
325,FMB-0215S,63,4704,0.0,896.5,339.5,323.0
326,FMB-0215S,64,4507,0.0,0.0,1998.0,58.0
327,FMB-0215S,64,4537,0.0,58.0,1462.0,891.0
328,FMB-0215S,64,4774,0.0,949.0,653.0,172.5
329,FMB-0215S,64,5101,0.0,1121.5,507.0,58.0
330,FMB-0215S,64,5004,507.0,1121.5,1361.0,58.0
331,FMB-0215S,65,4779,0.0,0.0,1996.0,866.0
332,FMB-0215S,65,5034,0.0,866.0,768.5,350.5
333,FMB-0215S,66,4749,0.0,0.0,1978.0,857.0
334,FMB-0215S,66,4854,0.0,857.0,711.5,363.0
335,FMB-0215S,66,4404,711.5,857.0,754.0,363.0
336,FMB-0215S,66,4469,1465.5,857.0,349.0,363.0
337,FMB-0215S,67,4482,0.0,0.0,1978.0,866.0
338,FMB-0215S,67,4802,0.0,866.0,858.0,352.0
339,FMB-0215S,68,4671,0.0,0.0,1961.0,931.0
340,FMB-0215S,68,4904,0.0,931.0,435.0,289.0
341,FMB-0215S,68,4391,435.0,931.0,590.0,289.0
342,FMB-0215S,68,4544,1025.0,931.0,514.5,289.0
343,FMB-0215S,68,4550,1961.0,0.0,470.0,48.0
344,FMB-0215S,68,4649,1961.0,48.0,445.0,444.0
345,FMB-0215S,68,4744,1961.0,492.0,462.0,443.0
346,FMB-0215S,68,4932,1961.0,935.0,428.0,235.0
347,FMB-0215S,68,4715,1961.0,1170.0,175.0,48.0
348,FMB-0215S,69,4846,0.0,0.0,1932.0,200.5
349,FMB-0215S,69,4384,0.0,200.5,479.5,379.0
350,FMB-0215S,69,4584,479.5,200.5,1277.0,379.0
351,FMB-0215S,69,5021,0.0,579.5,1547.5,454.0
352,FMB-0215S,69,4629,0.0,1033.5,242.0,175.0
353,FMB-0215S,69,4500,242.0,1033.5,278.0,175.0
354,FMB-0215S,69,4427,1932.0,0.0,495.0,377.0
355,FMB-0215S,69,5046,1932.0,377.0,462.0,447.0
356,FMB-0215S,69,4414,1932.0,824.0,462.0,379.0
357,FMB-0215S,70,4424,0.0,0.0,1898.0,348.0
358,FMB-0215S,70,4853,0.0,348.0,1515.5,422.0
359,FMB-0215S,70,4989,0.0,770.0,807.0,310.0
360,FMB-0215S,70,4517,0.0,1080.0,1784.0,93.0
361,FMB-0215S,70,4425,0.0,1173.0,1510.0,38.0
362,FMB-0215S,70,4814,1898.0,0.0,509.0,312.0
363,FMB-0215S,70,5063,1898.0,312.0,462.0,447.0
364,FMB-0215S,70,4628,1898.0,759.0,502.0,447.0
365,FMB-0215S,71,4867,0.0,0.0,1886.0,398.0
