,batch_index,item_material,flat_index,item_id,x,y,x_length,y_length
0,0,NDSF-0218S,0,28831,0.0,0.0,1198.0,1198.0
1,0,NDSF-0218S,0,29884,1198.0,0.0,401.0,328.0
2,0,NDSF-0218S,0,26492,1198.0,328.0,401.0,328.0
3,0,NDSF-0218S,0,28785,1198.0,656.0,401.0,328.0
4,0,NDSF-0218S,0,27404,1599.0,0.0,401.0,328.0
5,0,NDSF-0218S,0,28027,1599.0,328.0,401.0,328.0
6,0,NDSF-0218S,0,25632,1599.0,656.0,401.0,328.0
7,0,5-0215S,1,25615,0.0,0.0,2236.0,402.0
8,0,NMYH-0215S,2,9175,0.0,0.0,2278.0,822.0
9,0,NMYH-0215S,2,9441,0.0,822.0,2278.0,378.0
10,0,5-0218S,3,27261,0.0,0.0,2333.0,348.0
11,0,5-0218S,3,29104,0.0,348.0,2333.0,348.0
12,0,5-0218S,3,25362,0.0,696.0,402.0,347.0
13,0,5-0218S,3,26377,402.0,696.0,402.0,347.0
14,0,5-0218S,3,25984,0.0,1043.0,402.0,58.0
15,0,5-0218S,3,26164,402.0,1043.0,402.0,58.0
16,0,5-0218S,3,27916,0.0,1101.0,1198.0,98.0
17,0,YSH-0215S,4,39188,0.0,0.0,915.0,858.0
18,0,YSH-0215S,4,40411,915.0,0.0,898.0,858.0
19,0,YSH-0215S,5,38114,0.0,0.0,876.0,519.5
20,0,YSH-0215S,5,36520,0.0,519.5,876.0,519.5
21,0,YSH-0215S,5,39422,0.0,1039.0,325.0,172.5
22,0,YSH-0215S,5,36062,325.0,1039.0,346.0,172.5
23,0,YSH-0215S,5,40518,876.0,0.0,754.0,439.0
24,0,YSH-0215S,5,38190,876.0,439.0,754.0,439.0
25,0,YSH-0215S,6,37122,0.0,0.0,961.0,922.0
26,0,YSH-0215S,6,39551,961.0,0.0,961.0,921.0
27,0,YSH-0215S,7,35981,0.0,0.0,1863.0,981.0
28,0,YSH-0215S,8,39105,0.0,0.0,1062.0,943.5
29,0,YSH-0215S,8,37632,1062.0,0.0,1007.0,951.0
30,0,YSH-0215S,9,40114,0.0,0.0,2256.0,722.0
31,0,YSH-0215S,9,39363,0.0,722.0,998.0,494.5
32,0,YSH-0215S,9,39304,998.0,722.0,494.5,485.0
33,0,YSH-0215S,9,39750,1492.5,722.0,494.5,412.0
34,0,YSH-0215S,10,38147,0.0,0.0,2261.0,791.0
35,0,YSH-0215S,10,40438,0.0,791.0,858.0,398.0
36,0,YSH-0215S,11,39333,0.0,0.0,2261.0,800.0
37,0,YSH-0215S,11,40480,0.0,800.0,961.0,378.0
38,0,YSH-0215S,12,36303,0.0,0.0,2261.0,466.0
39,0,YSH-0215S,12,38546,0.0,466.0,2251.0,502.0
40,0,YSH-0215S,13,36519,0.0,0.0,2051.0,876.0
41,0,YSH-0215S,13,36400,2051.0,0.0,346.0,172.5
42,0,YSH-0215S,13,8898,2051.0,172.5,339.0,322.0
43,0,YSH-0215S,13,9748,2051.0,494.5,339.0,322.0
44,0,YSH-0215S,13,37784,2051.0,816.5,325.0,172.5
45,0,YSH-0215S,13,39037,2051.0,989.0,325.0,172.5
46,0,YSH-0215S,14,38770,0.0,0.0,2251.0,762.0
47,0,YSH-0215S,14,38476,0.0,762.0,1076.5,444.5
48,0,YSH-0215S,15,37565,0.0,0.0,2251.0,962.0
49,0,YSH-0215S,15,11911,0.0,962.0,338.0,118.0
50,0,YSH-0215S,15,12422,338.0,962.0,338.0,118.0
51,0,YSH-0215S,15,12774,0.0,1080.0,338.0,78.0
52,0,YSH-0215S,15,12775,338.0,1080.0,338.0,78.0
53,0,YSH-0215S,16,37684,0.0,0.0,2211.0,1007.0
54,0,YSH-0215S,16,38855,0.0,1007.0,438.0,198.0
55,0,YSH-0215S,16,36051,438.0,1007.0,488.0,198.0
56,0,YSH-0215S,17,36366,0.0,0.0,2051.0,876.0
57,0,YSH-0215S,17,36993,0.0,876.0,1901.0,277.5
58,0,YSH-0215S,18,35811,0.0,0.0,1901.0,998.0
59,0,YSH-0215S,18,36008,1901.0,0.0,489.0,326.0
60,0,YSH-0215S,18,37286,1901.0,326.0,439.0,347.0
61,0,YSH-0215S,18,38115,1901.0,673.0,489.0,326.0
62,0,YSH-0215S,19,38058,0.0,0.0,2261.0,503.0
63,0,YSH-0215S,19,37155,0.0,503.0,992.0,560.0
64,0,YSH-0215S,19,37293,992.0,503.0,1309.0,560.0
65,0,YSH-0215S,19,39587,0.0,1063.0,753.0,132.5
66,0,YSH-0215S,19,40378,753.0,1063.0,753.0,132.5
67,0,YSH-0215S,20,36389,0.0,0.0,2256.0,722.0
68,0,YSH-0215S,20,38996,0.0,722.0,1901.0,485.0
69,0,YSH-0215S,21,36501,0.0,0.0,2321.5,382.0
70,0,YSH-0215S,21,37181,0.0,382.0,922.0,440.5
71,0,YSH-0215S,21,36336,922.0,382.0,921.0,440.5
72,0,YSH-0215S,21,37237,0.0,822.5,2261.0,381.0
73,0,YSH-0215S,22,37249,0.0,0.0,2251.0,962.0
74,0,YSH-0215S,22,38717,0.0,962.0,438.0,198.0
75,0,YSH-0215S,22,39456,438.0,962.0,488.0,198.0
76,0,YSH-0215S,22,38539,926.0,962.0,488.0,198.0
77,0,YSH-0215S,22,38096,1414.0,962.0,488.0,198.0
78,0,YSH-0215S,22,37633,1902.0,962.0,488.0,198.0
79,0,YSH-0215S,22,11781,0.0,1160.0,321.0,52.5
80,0,YSH-0215S,23,37309,0.0,0.0,1451.0,1062.0
81,0,YSH-0215S,23,37014,0.0,1062.0,438.0,158.0
82,0,YSH-0215S,23,40419,438.0,1062.0,438.0,158.0
83,0,YSH-0215S,23,39568,876.0,1062.0,438.0,158.0
84,0,YSH-0215S,23,37421,1451.0,0.0,981.0,378.0
85,0,YSH-0215S,23,37971,1451.0,378.0,910.0,445.0
86,0,YSH-0215S,23,37265,1451.0,823.0,910.0,378.0
87,0,YSH-0215S,24,40342,0.0,0.0,1398.0,910.0
88,0,YSH-0215S,24,36314,0.0,910.0,438.0,198.0
89,0,YSH-0215S,24,39977,438.0,910.0,488.0,198.0
90,0,YSH-0215S,24,39198,926.0,910.0,438.0,198.0
91,0,YSH-0215S,24,9457,0.0,1108.0,321.0,92.5
92,0,YSH-0215S,24,36112,1398.0,0.0,1007.0,858.0
93,0,YSH-0215S,24,38875,1398.0,858.0,1007.0,362.0
94,0,YSH-0215S,25,35966,0.0,0.0,1901.0,412.0
95,0,YSH-0215S,25,39493,0.0,412.0,1901.0,779.0
96,0,YSH-0215S,25,38485,1901.0,0.0,489.0,326.0
97,0,YSH-0215S,25,37200,1901.0,326.0,440.5,378.0
98,0,YSH-0215S,25,38986,1901.0,704.0,439.0,347.0
99,0,YSH-0215S,25,38909,1901.0,1051.0,438.0,158.0
100,0,YSH-0218S,26,35704,0.0,0.0,556.0,381.0
101,0,YSH-0218S,26,36702,0.0,381.0,540.0,496.0
102,0,YSH-0218S,26,39156,0.0,877.0,503.0,305.0
103,0,YSH-0218S,26,38830,556.0,0.0,444.5,410.0
104,0,YSH-0218S,26,39318,556.0,410.0,410.0,388.0
105,0,YSH-0218S,26,40324,556.0,798.0,410.0,388.0
106,0,YSH-0218S,27,36511,0.0,0.0,1998.0,430.0
107,0,YSH-0218S,27,36391,0.0,430.0,485.0,427.0
108,0,YSH-0218S,27,37494,485.0,430.0,493.0,427.0
109,0,YSH-0218S,27,36190,978.0,430.0,485.0,427.0
110,0,YSH-0218S,27,36272,0.0,857.0,502.0,286.0
111,0,YSH-0218S,27,40461,502.0,857.0,502.0,286.0
112,0,YSH-0218S,27,39907,1004.0,857.0,502.0,286.0
113,0,YSH-0218S,28,35671,0.0,0.0,1812.0,375.0
114,0,YSH-0218S,28,36321,0.0,375.0,910.0,575.0
115,0,YSH-0218S,28,37577,910.0,375.0,575.0,466.0
116,0,YSH-0218S,28,36700,1812.0,0.0,578.0,411.0
117,0,YSH-0218S,28,39723,1812.0,411.0,513.0,430.0
118,0,YSH-0218S,29,37089,0.0,0.0,2377.0,488.5
119,0,YSH-0218S,29,39897,0.0,488.5,962.0,540.0
120,0,YSH-0218S,29,37219,962.0,488.5,962.0,540.0
121,0,YSH-0218S,30,38564,0.0,0.0,1022.0,399.0
122,0,YSH-0218S,30,39396,0.0,399.0,600.0,513.0
123,0,YSH-0218S,30,37428,1022.0,0.0,1022.0,412.0
124,0,YSH-0218S,30,37465,1022.0,412.0,961.0,575.0
125,0,YSH-0218S,31,38158,0.0,0.0,2084.0,447.5
126,0,YSH-0218S,31,38235,0.0,447.5,891.0,343.0
127,0,YSH-0218S,31,40004,891.0,447.5,984.0,343.0
128,0,YSH-0218S,31,39770,0.0,790.5,485.0,429.0
129,0,YSH-0218S,31,40133,485.0,790.5,1187.0,429.0
130,0,YSH-0218S,32,37401,0.0,0.0,2394.0,328.0
131,0,YSH-0218S,32,39696,0.0,328.0,1998.0,430.0
132,0,YSH-0218S,32,35793,0.0,758.0,534.5,447.5
133,0,YSH-0218S,32,39454,534.5,758.0,534.5,447.5
134,0,YSH-0218S,32,36582,1069.0,758.0,534.5,447.5
135,0,YSH-0218S,32,36333,1603.5,758.0,534.5,447.5
136,0,YSH-0218S,33,35816,0.0,0.0,1812.0,375.0
137,0,YSH-0218S,33,36668,0.0,375.0,962.0,540.0
138,0,YSH-0218S,33,36033,0.0,915.0,1088.0,294.0
139,0,YSH-0218S,33,38399,1812.0,0.0,599.0,412.0
140,0,YSH-0218S,33,37435,1812.0,412.0,513.0,430.0
141,0,YSH-0218S,34,37775,0.0,0.0,2211.0,290.0
